,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,apache-jmeter-2.10,DEFECT,// Don't try restoring the URL TODO: wy not?,yes,undetermined,0,0,0,yes,0.9775873202698829
1,apache-jmeter-2.10,DEFECT,// TODO: Why do we clone the return value? This is the only reference // to it (right?) so we shouldn't need a separate copy.,yes,undetermined,0,0,0,yes,0.7623702364327583
2,apache-jmeter-2.10,DEFECT,"/*
     * Fix bug in JVMs that return true/false rather than True/False
     * from the type editor getAsText() method
     */",yes,undetermined,0,0,0,no,0.05692472426499933
3,apache-jmeter-2.10,DEFECT,// Should this also fail the sample? // Can happen for incorrect XPath expression,yes,undetermined,0,0,0,no,0.006159509188113805
4,apache-jmeter-2.10,DEFECT,// TODO - why does null property have a value?,yes,undetermined,0,0,0,yes,0.9959958458336278
5,apache-jmeter-2.10,DEFECT,//int contentLength = httpMethod.getResponseContentLength();Not visible ... //TODO size ouststream according to actual content length,yes,undetermined,0,0,0,yes,0.8049350051567392
6,apache-jmeter-2.10,DEFECT,"// This would be sensible, but does not work: // public int hashCode() // { // return propMap.hashCode(); // }",yes,undetermined,0,0,0,no,0.22050579523564176
7,apache-jmeter-2.10,DEFECT,// FIXME Due to startEngine being commented engine will always be null //private StandardJMeterEngine engine;,yes,undetermined,0,0,0,yes,0.6457706259772514
8,apache-jmeter-2.10,DEFECT,// NOTE: these lines center the about dialog in the // current window. Some older Swing versions have // a bug in getLocationOnScreen() and they may not // make this behave properly.,yes,undetermined,0,0,0,no,0.06851503503098044
9,apache-jmeter-2.10,DEFECT,// TODO - how can this be null?,yes,undetermined,0,0,0,yes,0.9900759044128012
10,apache-jmeter-2.10,DEFECT,// TODO display warning dialog as this can take some time,yes,undetermined,0,0,0,yes,0.9705129870522319
11,apache-jmeter-2.10,DEFECT,// TODO: may not work on all OSes?,yes,undetermined,0,0,0,yes,0.9974783406024962
12,apache-jmeter-2.10,DEFECT,"/*
     * TODO: error counting needs to be sorted out.
     *
     * At present the Statistical Sampler tracks errors separately
     * It would make sense to move the error count here, but this would
     * mean lots of changes.
     * It's also tricky maintaining the count - it can't just be incremented/decremented
     * when the success flag is set as this may be done multiple times.
     * The work-round for now is to do the work in the StatisticalSampleResult,
     * which overrides this method.
     * Note that some JMS samplers also create samples with > 1 sample count
     * Also the Transaction Controller probably needs to be changed to do
     * proper sample and error accounting.
     * The purpose of this work-round is to allow at least minimal support for
     * errors in remote statistical batch mode.
     *
     */",yes,undetermined,0,0,0,yes,0.9504366809697977
13,apache-jmeter-2.10,DEFECT,// TODO: doesn't putting this here mark the tree as // saved even though a failure may occur later?,yes,undetermined,0,0,0,yes,0.6346340590655272
14,apache-jmeter-2.10,DEFECT,"// TODO - fix so that this is only called once per test, instead of at every clone // Perhaps save previous filename, and only load if it has changed?",yes,undetermined,0,0,0,no,0.48675599201411346
15,apache-jmeter-2.10,DEFECT,// Bug in above method,yes,undetermined,0,0,0,no,0.026082402138272266
16,apache-jmeter-2.10,DEFECT,// TODO should we call test listeners? That might hang too ... //$NON-NLS-1$ // default is true,yes,undetermined,0,0,0,yes,0.8430107472042752
17,apache-jmeter-2.10,DEFECT,"// FIXME FACTOR WITH HTTPHC4Impl, HTTPHC3Impl // Just append all the parameter values, and use that as the post body",yes,undetermined,0,0,0,yes,0.9348576109491353
