,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba
0,apache-ant-1.7.0,DEFECT,// FIXME formatters are not thread-safe,yes,undetermined,0,0,0,yes,0.9416316533979073,yes,0.9888660744621208,yes,0.9894444266216205,yes,0.9911965354233309,yes,0.9896810558500895,yes,0.9901221850432838,yes,0.9907861704666601
1,apache-ant-1.7.0,DEFECT,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something.",yes,undetermined,0,0,0,no,0.4065209977919355,no,0.40156401503269606,no,0.41289113745930234,no,0.4205332629577947,no,0.4048822070893869,no,0.40478838055545363,no,0.40618032270640325
2,apache-ant-1.7.0,DEFECT,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception.",yes,undetermined,0,0,0,no,0.19164239002044836,no,0.2013562752672164,no,0.20410972255662552,no,0.20590935215586645,no,0.1969787524740574,no,0.19603418512864473,no,0.19357703288680753
3,apache-ant-1.7.0,DEFECT,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything.",yes,undetermined,0,0,0,yes,0.9381434265360918,yes,0.988844049852405,yes,0.9894550330393871,yes,0.9912146166835978,yes,0.9896797467993168,yes,0.990129320194805,yes,0.990800578790918
4,apache-ant-1.7.0,DEFECT,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??,yes,undetermined,0,0,0,no,0.029746245156825467,yes,0.988861233551487,yes,0.9894230589784614,yes,0.9911951520816256,yes,0.9896678002114998,yes,0.9901233715376299,yes,0.9907796469808339
5,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,yes,undetermined,0,0,0,yes,0.999999924365438,yes,0.9999997299546339,yes,0.9999997590812423,yes,0.9999998714013011,yes,0.9999997926509965,yes,0.999999798481211,yes,0.999999841057961
6,apache-ant-1.7.0,DEFECT,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",yes,undetermined,0,0,0,no,0.16881572341255602,no,0.1376851116804446,no,0.13036807574891968,no,0.12563287234643755,no,0.12052612955964791,no,0.11884441450728027,no,0.11711513423652244
7,apache-ant-1.7.0,DEFECT,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.,yes,undetermined,0,0,0,no,0.035286860461750315,yes,0.9888609367401429,yes,0.9894346283202214,yes,0.9912115989997307,yes,0.9896710171468185,yes,0.9901139834796504,yes,0.9907760758398064
8,apache-ant-1.7.0,DEFECT,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?",yes,undetermined,0,0,0,yes,0.9555321004716624,yes,0.9888452637537464,yes,0.9894503691782426,yes,0.9912169384505857,yes,0.9896699556148372,yes,0.990114166760396,yes,0.9907966397672865
9,apache-ant-1.7.0,DEFECT,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...,yes,undetermined,0,0,0,yes,0.6357228898374011,yes,0.5636196972494351,yes,0.567068456732378,yes,0.5681335448209432,yes,0.547163166519482,yes,0.5559614093469386,yes,0.5576829191854498
