,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba,svm_pred_7,svm_pred_7_proba
0,jruby-1.4.0,DEFECT,"// TODO: we loose encoding information here, fix it",yes,undetermined,0,0,0,yes,0.9927719603671055,yes,0.9931248154236639,yes,0.994178411136984,yes,0.9936618741212945,yes,0.9951430399954065,yes,0.9951234417991475,yes,0.9951287220700057,yes,0.9953929042580074
1,jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/",yes,undetermined,0,0,0,yes,0.9854359835674572,yes,0.9931377896603298,yes,0.9941929128383333,yes,0.9936756047329898,yes,0.9951415856771313,yes,0.9954370554162283,yes,0.9955666682479994,yes,0.9958137315963043
2,jruby-1.4.0,DEFECT,// TODO: Numeric.new works in Ruby and it does here too.  However trying to use //   that instance in a numeric operation should generate an ArgumentError. Doing //   this seems so pathological I do not see the need to fix this now.,yes,undetermined,0,0,0,yes,0.9960120018549572,yes,0.9999965491076679,yes,0.9999984724667781,yes,0.9999987296008108,yes,0.9999993625500352,yes,0.9999993339482328,yes,0.9999993210656124,yes,0.9999994230630201
3,jruby-1.4.0,DEFECT,"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";",yes,undetermined,0,0,0,no,0.5755281720807753,no,0.5711835861812589,yes,0.6042309152387142,yes,0.6074632584243309,yes,0.6330076057906217,yes,0.6190540036112191,yes,0.6190888838781298,yes,0.61942473428218
4,jruby-1.4.0,DEFECT,// TODO: take BigDecimal.mode into account.,yes,undetermined,0,0,0,yes,0.9774714966568887,yes,0.9931233410989294,yes,0.9941839370933684,yes,0.9936667213919587,yes,0.9951395077086787,yes,0.995130304121305,yes,0.9951434652928788,yes,0.995397166269461
5,jruby-1.4.0,DEFECT,// TODO: full-precision remainder is 1000x slower than MRI!,yes,undetermined,0,0,0,yes,0.6259898598565125,no,0.3796628702133536,no,0.37903044068349534,no,0.3637250036489894,no,0.3783191609539198,no,0.3678607839146606,no,0.36736845064985607,no,0.3650156615738151
6,jruby-1.4.0,DEFECT,// FIXME: for some reason this dispatcher causes a VerifyError... //classClass.dispatcher = callbackFactory.createDispatcher(classClass);,yes,undetermined,0,0,0,no,0.41807751555180794,no,0.568835996064485,yes,0.6265395700017008,yes,0.8415522985553572,yes,0.8730950432977685,yes,0.8820571797722436,yes,0.8858541785189206,yes,0.887737719414611
7,jruby-1.4.0,DEFECT,"// FIXME: I doubt any of the constants referenced in this method // are ever redefined -- should compare to the known values, rather // than do an expensive constant lookup.",yes,undetermined,0,0,0,yes,0.7609729936456573,yes,0.7738820001962472,yes,0.8282079136194118,yes,0.8060878593096132,yes,0.8179764478823055,yes,0.8392899674215986,yes,0.8675365224776563,yes,0.8694473498704999
8,jruby-1.4.0,DEFECT,"// TODO: Rewriter and compiler assume case when empty expression.  In MRI this is just // a when. //        assert caseNode != null : ""caseNode is not null"";",yes,undetermined,0,0,0,no,0.5277454014573438,no,0.45895047539324496,no,0.49063768661124096,no,0.46508148094696855,no,0.4828848059705672,no,0.47510692061994825,no,0.48551484742938034,no,0.4842759320499363
9,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9877297834266738,yes,0.9931426830057104,yes,0.9941866745593971,yes,0.9936748881617975,yes,0.9951402644839991,yes,0.9951194428090546,yes,0.9951316006672962,yes,0.9953894804980432
