,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba
0,sql12,DEFECT,"/**
	 * TODO: this is a bug in the code at the moment.  If table ""test"" isn't qualified then this test passes - 
	 * so we need to beef up qualified tablename handling.
	 */",yes,undetermined,0,0,0,yes,0.9371752469522957,yes,0.9858629597625523,yes,0.9878707586016929,yes,0.9879490771255207
1,sql12,DEFECT,"// Cast to int required as Dimension::setSize(double,double) // doesn't appear to do anything in JDK1.2.2.",yes,undetermined,0,0,0,no,0.001285970803734099,yes,0.9858553652694148,yes,0.9878893850744606,yes,0.9879440162630728
2,sql12,DEFECT,"/*
       * This won't work on Derby where non-varchar columns cannot be altered
       * among other restrictions.
       * 
       * TableColumnInfo nullintVC = getVarcharColumn(""nullint"", true, ""defVal"",
       * ""A varchar comment""); String alterColTypeSQL =
       * dialect.getColumnTypeAlterSQL(firstCol, nullintVC); runSQL(session,
       * alterColTypeSQL);
       */",yes,undetermined,0,0,0,no,0.17643579151190653,no,0.1952462898226569,no,0.18185547794530993,no,0.1695123581789598
3,sql12,DEFECT,"// The following query produces a result that should be editable, but it currently isn't",yes,undetermined,0,0,0,no,0.007057719551529348,yes,0.8770901789662056,yes,0.8889917052274231,yes,0.888242128823931
4,sql12,DEFECT,// We know this fails - Bug# 1700093,yes,undetermined,0,0,0,no,0.0645074499043474,yes,0.9737352213550212,yes,0.9878697728977762,yes,0.9879562484962745
5,sql12,DEFECT,// installColorsAndFont needs to be run twice. Background and foreground // colors only work if run after the super call but font only works if run // before the super call. May be a bug in JDK 1.4,yes,undetermined,0,0,0,no,0.22934361481529647,no,0.34982382929242717,no,0.35330024397018844,no,0.3435655290813739
6,sql12,DEFECT,"// TODO: Remove this when Frontbase bug gets fixed. // For some reason, Frontbase renames the unique indexes to a generated value.  Since we don't  // know what that new name for the index is, skip dropping it for now.",yes,undetermined,0,0,0,yes,0.9805729014463505,yes,0.9858369165977418,yes,0.9891581166907966,yes,0.989080637160455
7,sql12,DEFECT,"/*
            * Fails on DB2 8.1 for Linux 
            * However, Windows 8.1 fixpak 14 driver (2.10.52) works without 
            * exception
            * Also, Linux 9.0.1 server with 3.1.57 driver works fine as well
            */",yes,undetermined,0,0,0,no,0.0179645183728724,yes,0.9653779271288526,yes,0.9878762102000515,yes,0.9879544499743228
8,sql12,DEFECT,"// Bug #1995728 // MS-SQL is inconsistent with regard to setting the current catalog. If you have a database with // periods or spaces, then in some cases you must surround the catalog with quotes. For example,  // if you have a catalog named 'db with spaces' you must execute the following SQL: //  // use ""db with spaces"" // // However, the same is not always true for the JDBC API method Connection.setCatalog. For some old // versions of Microsoft drivers, you must quote the catalog as well. But for newer versions of the // driver, you must not quote the catalog. So here, we attempt to use the unquoted version first, then // if that fails, we will try quoting it.",yes,undetermined,0,0,0,no,0.03121833853224361,yes,0.9857100222148139,yes,0.987870066681486,yes,0.9879656071708616
9,sql12,DEFECT,// This is here because addCompletionsAtListBegin() won't work when // schema info is still loading,yes,undetermined,0,0,0,no,0.18821912151328402,no,0.15551387917569182,no,0.18630297775542118,no,0.18294358983822026
